Verb_Concept_ID,Source,Dialect,AR,EN,v.i1s,v.i1s.E,v.i2ms,v.i2ms.E,v.i2fs,v.i2fs.E,v.i3ms,v.i3ms.E,v.i3fs,v.i3fs.E,v.i1p,v.i1p.E,v.i2p,v.i2p.E,v.i3p,v.i3p.E,v.p1s,v.p1s.E,v.p2ms,v.p2ms.E,v.p2fs,v.p2fs.E,v.p3ms,v.p3ms.E,v.p3fs,v.p3fs.E,v.p1p,v.p1p.E,v.p2p,v.p2p.E,v.p3p,v.p3p.E,v.c2ms,v.c2ms.E,v.c2fs,v.c2fs.E,v.c2p,v.c2p.E
1,011,Beirut,دَفَع,to pay,بِدفَع,I pay,بْتِدْفَع,you pay,بْتِدْفَعي,you pay,بْيِدفَع,he pays,بْتِدْفَع,she pays,منِدْفَع,we pay,بْتِدْفَعو,you pay,بيِدفَعو,they pay,دَفَعِت,I paid,دَفَعِت,you paid,دَفَعْتِ,you paid,دَفَعْ,he paid,دَفَعِت,she paid,دَفَعْنا,we paid,دَفَعْتو,you paid,دَفَعو,they paid,دْفاع,pay,دْفَعي,pay,دْفَعو,pay
2,011,Beirut,ضَهَر,to leave,بُضْهَر,I leave,بتُضْهَر,you leave,بتُضْهَري,you leave,بيُضْهَر,he leaves,بتُضْهَر,she leaves,منُضْهَر,we leave,بتُضْهَرو,you leave,بيُضْهَرو,they leave,ضَهَرِت,I left,ضَهَرِت,you left,ضَهَرْتِ,you left,ضَهَر,he left,ضَهَرِت,she left,ضَهَرْنا,we left,ضَهَرْتو,you left,ضَهَرو,they left,ضْهار,leave,ضْهَري,leave,ضْهَزو,leave
