v,(In)transitive,AR,Dialect,FORM,verb form features,Frequency,IPA,Duplicate?,sense?,Notes
put,t,حَطّ,Beirut,1B,irregular final geminate,,,TRUE,put/lay,
say,t,قال,Beirut,1B,irregular medial weak,,,TRUE,,
reserve,t,حَخَز,Beirut,1C,,,[ħædʒæzæ],FALSE,reserve/book,
promise,t,وَعَد,Beirut,1C,with و,,,TRUE,,
love,t,حَبّ,Beirut,1C,irregular final geminate,,,TRUE,,
wash,t,جَلى,Beirut,1C,irregular final weak,,,FALSE,wash dishes,
talk,t,حَكى,Beirut,1C,irregular final weak,,,TRUE,"talk, speak",
bring,t,جاب,Beirut,1C,irregular medial weak,,,FALSE,,
become lost,i,ضاع,Beirut,1C,[shows influence of ض on verb],,,FALSE,get lost,
drink,t,شِرِب,Beirut,1D,,,,TRUE,,
do,t,عِمِل,Beirut,1D,[note influence of ع on vowels],,,FALSE,,
arrive,i,وُصِل,Beirut,1D,initial وwith ,,,TRUE,,
walk,t/i,مِشي,Beirut,1D,irregular final weak,,,FALSE,,
teach,t,دَرَّس,Beirut,2,mid-geminate,,,FALSE,,
let,t,خَلّى,Beirut,2,final weak,,,FALSE,"let, allow, remain, keep",
answer,t/i,جاوب,Beirut,3,,,,FALSE,"answer, respond, ",
suffer,i,عانى,Beirut,3,irregular final weak,,,TRUE,,
announce,t,أَعلَن,Beirut,4,,,,FALSE,,
give,t,عطى,Beirut,4//3//1,transforms form,,,TRUE,,
learn,t,تعَلّم,Beirut,5,,,,FALSE,,
deal with,i,تعامل مع,Beirut,6,,,,FALSE,,
have fun,i,نبسط,Beirut,7,,,,FALSE,"enjoy, have a good time",
get busy,i,نشغل,Beirut,7,,,,FALSE,,*can only be used with 3rd person pronouns
be said,i,نْقال,Beirut,7,irregular medial weak,,,FALSE,,
work,i,شتغل,Beirut,8,,,,FALSE,,
protest [against],i,حْتَخّ على,Beirut,8,irregular final geminate,,,FALSE,,
become white,i,بْيَضّ,Beirut,9,,,,FALSE,,
become red,i,حمرّ,Beirut,9,,,,FALSE,,
become blue,i,زرقّ,Beirut,9,,,,FALSE,,
become green,i,خضرّ,Beirut,9,,,,FALSE,,
become yellow,i,صفرّ,Beirut,9,,,,FALSE,,
become black,i,سْودّ,Beirut,9,,,,FALSE,,
use,t,سْتَعْمَل,Beirut,10,,,,FALSE,,
get ready,*reflexive*,سْتَعَدّ,Beirut,10,irregular final geminate,,,FALSE,,
consult,t,سْتَشار,Beirut,10,irregular medial weak,,,FALSE,"to consult, take counsel, ask for advice",
telephone,,تَلْفَن,Beirut,,quadriliteral,,,FALSE,,
whisper,,وَشْوَش,Beirut,,doubled,,,,to tell s.o. s.th. by whispering,
wrap,,لَفلَف,Beirut,,doubled,,,,wrap up,
come,i,إجا,Beirut,,irregular,,,,,
take,t,أجد,Beirut,,irregular,,,,,
abandon; give up [on s.o./s.th],i,تخَلّى,Beirut,5,irregular final weak,D,,,,
accept/agree,i,قِبِل,Beirut,1D,1D,B,,,,
accompany,t,رافَق,Beirut,3,,D,,,,
accuse/suspect,t,تَهَم,Beirut,1B,,D,,,,
accustom/get used to,i,تعَوَّد,Beirut,5,,B,,,,
act [in a play/movie]; ,t,مَثَّل,Beirut,2,,D,,,,represent; perform
act childish/joke with,i,توَلدَن,Beirut,,quadriliteral reflexive,E,,,,
